ID,Resistance(mO),Voltage,Temperature(?),DateTime,Resistance2,Voltage2,Temperature2,DateTime2
1,5.74,3.279,0,02-12-2022 10:31,5.75,3.279,0,10-12-2022 10:26
2,5.68,3.28,0,02-12-2022 10:31,5.74,3.28,0,10-12-2022 10:26
3,5.74,3.196,0,02-12-2022 10:32,5.78,3.195,0,10-12-2022 10:27
4,5.59,3.28,0,02-12-2022 10:32,5.72,3.28,0,10-12-2022 10:28
5,5.57,3.281,0,02-12-2022 10:33,5.63,3.281,0,10-12-2022 10:28
6,5.77,3.28,0,02-12-2022 10:38,5.93,3.28,0,10-12-2022 10:28
7,5.76,3.279,0,02-12-2022 10:39,5.89,3.279,0,10-12-2022 10:28
8,5.74,3.277,0,02-12-2022 10:39,5.81,3.276,0,10-12-2022 10:29
9,5.7,3.273,0,02-12-2022 10:39,5.74,3.272,0,10-12-2022 10:29
10,5.6,3.277,0,02-12-2022 10:40,5.72,3.276,0,10-12-2022 10:29
11,5.58,3.281,0,02-12-2022 10:49,5.7,3.28,0,10-12-2022 10:30
12,5.64,3.267,0,02-12-2022 10:49,5.73,3.266,0,10-12-2022 10:30
13,5.75,3.266,0,02-12-2022 10:49,5.81,3.264,0,10-12-2022 10:30
14,5.57,3.281,0,02-12-2022 10:49,5.57,3.281,0,10-12-2022 10:31
15,5.99,3.275,0,02-12-2022 10:51,5.98,3.27,0,10-12-2022 10:31
16,5.56,3.281,0,02-12-2022 10:51,5.76,3.281,0,10-12-2022 10:31
17,5.57,3.281,0,02-12-2022 10:51,5.66,3.28,0,10-12-2022 10:31
18,5.64,3.281,0,02-12-2022 10:51,5.69,3.281,0,10-12-2022 10:32
19,5.76,3.281,0,02-12-2022 10:51,5.72,3.281,0,10-12-2022 10:32
20,5.74,3.264,0,02-12-2022 10:54,5.85,3.263,0,10-12-2022 10:32
21,5.73,3.278,0,02-12-2022 10:55,5.82,3.277,0,10-12-2022 10:35
22,5.68,3.282,0,02-12-2022 10:55,5.72,3.282,0,10-12-2022 10:35
23,5.78,3.28,0,02-12-2022 10:55,5.86,3.279,0,10-12-2022 10:35
24,5.76,3.28,0,02-12-2022 10:57,5.75,3.281,0,10-12-2022 10:35
25,5.79,3.274,0,02-12-2022 10:57,5.8,3.274,0,10-12-2022 10:35
26,5.77,3.281,0,02-12-2022 10:58,5.8,3.281,0,10-12-2022 10:36
27,5.82,3.281,0,02-12-2022 11:55,5.84,3.28,0,10-12-2022 10:36
28,5.88,3.281,0,02-12-2022 11:55,5.95,3.281,0,10-12-2022 10:36
29,5.68,3.28,0,02-12-2022 11:56,5.75,3.28,0,10-12-2022 10:36
30,5.76,3.282,0,02-12-2022 11:56,5.81,3.281,0,10-12-2022 10:36
31,5.62,3.274,0,02-12-2022 11:56,5.7,3.273,0,10-12-2022 10:36
32,5.75,3.282,0,02-12-2022 11:56,5.78,3.282,0,10-12-2022 10:37
33,5.74,3.279,0,02-12-2022 11:56,5.8,3.279,0,10-12-2022 10:37
34,5.93,3.281,0,02-12-2022 11:57,5.94,3.28,0,10-12-2022 10:37
35,5.71,3.281,0,02-12-2022 11:57,5.74,3.28,0,10-12-2022 10:37
36,5.69,3.28,0,02-12-2022 11:58,5.81,3.279,0,10-12-2022 10:37
37,5.7,3.277,0,02-12-2022 11:59,5.74,3.276,0,10-12-2022 10:37
38,5.72,3.266,0,02-12-2022 12:00,5.77,3.264,0,10-12-2022 10:37
39,5.65,3.281,0,02-12-2022 12:00,5.67,3.28,0,10-12-2022 10:37
40,5.76,3.281,0,02-12-2022 12:00,5.8,3.28,0,10-12-2022 10:38
41,5.57,3.282,0,02-12-2022 12:01,5.65,3.281,0,10-12-2022 10:38
42,5.65,3.281,0,02-12-2022 12:02,5.7,3.28,0,10-12-2022 10:38
43,5.64,3.281,0,02-12-2022 12:02,5.68,3.281,0,10-12-2022 10:38
44,5.66,3.278,0,02-12-2022 12:02,5.75,3.278,0,10-12-2022 10:38
45,5.79,3.265,0,02-12-2022 12:02,5.82,3.263,0,10-12-2022 10:38
46,5.72,3.273,0,02-12-2022 12:02,5.73,3.272,0,10-12-2022 10:39
47,5.66,3.278,0,02-12-2022 12:03,5.77,3.278,0,10-12-2022 10:39
48,5.62,3.278,0,02-12-2022 12:03,5.65,3.277,0,10-12-2022 10:39
49,5.67,3.281,0,02-12-2022 12:03,5.76,3.28,0,10-12-2022 10:39
50,5.66,3.28,0,02-12-2022 12:03,5.74,3.28,0,10-12-2022 10:39
51,5.75,3.28,0,02-12-2022 12:04,5.86,3.279,0,10-12-2022 10:39
52,5.67,3.277,0,02-12-2022 12:04,5.68,3.276,0,10-12-2022 10:40
53,5.88,3.28,0,02-12-2022 12:04,5.88,3.28,0,10-12-2022 10:40
54,5.82,3.279,0,02-12-2022 12:04,5.86,3.278,0,10-12-2022 10:40
55,5.7,3.275,0,02-12-2022 12:05,5.67,3.274,0,10-12-2022 10:40
56,5.88,3.282,0,02-12-2022 12:05,5.92,3.281,0,10-12-2022 10:40
57,5.8,3.281,0,02-12-2022 12:05,5.82,3.28,0,10-12-2022 10:40
58,5.66,3.27,0,02-12-2022 12:06,5.76,3.269,0,10-12-2022 10:40
59,5.77,3.269,0,02-12-2022 12:06,5.79,3.267,0,10-12-2022 10:40
60,5.63,3.279,0,02-12-2022 12:06,5.62,3.279,0,10-12-2022 10:41
61,5.84,3.279,0,02-12-2022 12:07,5.9,3.278,0,10-12-2022 10:41
62,5.65,3.28,0,02-12-2022 12:07,5.66,3.28,0,10-12-2022 10:41
63,5.59,3.278,0,02-12-2022 12:07,5.67,3.277,0,10-12-2022 10:41
64,5.79,3.273,0,02-12-2022 12:07,5.82,3.272,0,10-12-2022 10:41
65,5.75,3.281,0,02-12-2022 12:08,5.83,3.28,0,10-12-2022 10:42
66,5.8,3.274,0,02-12-2022 12:08,5.79,3.273,0,10-12-2022 10:42
67,5.76,3.281,0,02-12-2022 12:08,5.73,3.28,0,10-12-2022 10:42
68,5.89,3.283,0,02-12-2022 12:09,5.93,3.282,0,10-12-2022 10:42
69,5.64,3.279,0,02-12-2022 12:09,5.7,3.279,0,10-12-2022 10:42
70,5.82,3.28,0,02-12-2022 12:09,5.76,3.28,0,10-12-2022 10:42
71,5.73,3.28,0,02-12-2022 12:10,5.72,3.28,0,10-12-2022 10:42
72,5.56,3.281,0,02-12-2022 12:10,5.59,3.28,0,10-12-2022 10:43
73,5.77,3.281,0,02-12-2022 12:10,5.77,3.281,0,10-12-2022 10:43
74,5.76,3.276,0,02-12-2022 12:11,5.8,3.275,0,10-12-2022 10:43
75,5.69,3.281,0,02-12-2022 12:11,5.73,3.281,0,10-12-2022 10:43
76,5.69,3.265,0,02-12-2022 12:11,5.75,3.263,0,10-12-2022 10:43
77,5.66,3.279,0,02-12-2022 12:12,5.71,3.278,0,10-12-2022 10:43
78,5.78,3.282,0,02-12-2022 12:12,5.76,3.281,0,10-12-2022 10:44
79,5.72,3.27,0,02-12-2022 12:12,5.76,3.268,0,10-12-2022 10:44
80,6.02,3.28,0,02-12-2022 12:12,5.94,3.279,0,10-12-2022 10:44
81,5.69,3.281,0,02-12-2022 12:41,5.83,3.28,0,10-12-2022 10:45
82,5.7,3.278,0,02-12-2022 12:43,5.78,3.277,0,10-12-2022 10:45
83,5.61,3.271,0,02-12-2022 12:44,5.74,3.27,0,10-12-2022 10:45
84,5.76,3.273,0,02-12-2022 12:44,5.79,3.272,0,10-12-2022 10:45
85,5.63,3.282,0,02-12-2022 12:44,5.66,3.281,0,10-12-2022 10:45
86,5.69,3.262,0,02-12-2022 12:44,5.75,3.26,0,10-12-2022 10:45
87,5.8,3.278,0,02-12-2022 12:44,5.86,3.277,0,10-12-2022 10:46
88,5.77,3.269,0,02-12-2022 12:45,5.8,3.267,0,10-12-2022 10:46
89,5.75,3.281,0,02-12-2022 12:45,5.76,3.281,0,10-12-2022 10:46
90,5.61,3.282,0,02-12-2022 12:48,5.68,3.282,0,10-12-2022 10:46
91,5.73,3.28,0,02-12-2022 12:48,5.73,3.28,0,10-12-2022 10:46
92,5.67,3.271,0,02-12-2022 12:48,5.71,3.27,0,10-12-2022 10:46
93,5.87,3.281,0,02-12-2022 12:48,5.88,3.28,0,10-12-2022 10:46
94,5.71,3.28,0,02-12-2022 12:48,5.8,3.279,0,10-12-2022 10:46
95,5.93,3.28,0,02-12-2022 12:49,5.97,3.279,0,10-12-2022 10:47
96,5.98,3.281,0,02-12-2022 12:49,6.01,3.281,0,10-12-2022 10:47
97,5.83,3.279,0,02-12-2022 12:49,5.85,3.278,0,10-12-2022 10:47
98,5.7,3.281,0,02-12-2022 12:49,5.77,3.281,0,10-12-2022 10:47
99,5.66,3.28,0,02-12-2022 12:49,5.77,3.28,0,10-12-2022 10:47
100,5.87,3.28,0,02-12-2022 12:50,5.88,3.279,0,10-12-2022 10:47
101,5.7,3.282,0,02-12-2022 12:51,5.72,3.281,0,10-12-2022 10:50
102,5.7,3.281,0,02-12-2022 12:51,5.78,3.281,0,10-12-2022 10:50
103,5.94,3.277,0,02-12-2022 12:51,6,3.276,0,10-12-2022 10:50
104,5.93,3.281,0,02-12-2022 12:51,5.99,3.28,0,10-12-2022 10:50
105,5.91,3.282,0,02-12-2022 12:52,5.97,3.282,0,10-12-2022 10:51
106,5.76,3.278,0,02-12-2022 12:52,5.84,3.277,0,10-12-2022 10:51
107,5.91,3.282,0,02-12-2022 12:52,5.98,3.281,0,10-12-2022 10:51
108,5.78,3.282,0,02-12-2022 12:52,5.82,3.281,0,10-12-2022 10:51
109,5.75,3.28,0,02-12-2022 12:52,5.75,3.28,0,10-12-2022 10:51
110,5.81,3.283,0,02-12-2022 12:53,5.84,3.282,0,10-12-2022 10:51
111,5.56,3.28,0,02-12-2022 12:53,5.61,3.28,0,10-12-2022 10:51
112,5.79,3.279,0,02-12-2022 12:53,5.8,3.279,0,10-12-2022 10:51
113,5.78,3.28,0,02-12-2022 12:53,5.85,3.28,0,10-12-2022 10:51
114,5.92,3.281,0,02-12-2022 12:53,5.95,3.281,0,10-12-2022 10:52
115,5.63,3.28,0,02-12-2022 12:53,5.63,3.279,0,10-12-2022 10:52
116,5.89,3.28,0,02-12-2022 12:53,5.91,3.28,0,10-12-2022 10:52
117,5.85,3.279,0,02-12-2022 12:54,5.87,3.279,0,10-12-2022 10:52
118,5.81,3.279,0,02-12-2022 12:54,5.86,3.279,0,10-12-2022 10:52
119,5.94,3.28,0,02-12-2022 12:54,6,3.279,0,10-12-2022 10:52
120,5.76,3.279,0,02-12-2022 12:54,5.8,3.278,0,10-12-2022 10:52
121,5.77,3.283,0,02-12-2022 13:34,5.85,3.283,0,10-12-2022 10:53
122,5.62,3.27,0,02-12-2022 13:34,5.67,3.27,0,10-12-2022 10:53
123,5.72,3.281,0,02-12-2022 13:34,5.76,3.281,0,10-12-2022 10:53
124,5.82,3.281,0,02-12-2022 13:34,5.88,3.281,0,10-12-2022 10:53
125,5.7,3.279,0,02-12-2022 13:34,5.76,3.279,0,10-12-2022 10:53
126,5.72,3.282,0,02-12-2022 13:35,5.69,3.282,0,10-12-2022 10:54
127,5.7,3.274,0,02-12-2022 13:35,5.77,3.273,0,10-12-2022 10:54
128,5.77,3.269,0,02-12-2022 13:35,5.79,3.268,0,10-12-2022 10:55
129,5.68,3.274,0,02-12-2022 13:35,5.71,3.273,0,10-12-2022 10:56
130,5.77,3.28,0,02-12-2022 13:35,5.75,3.28,0,10-12-2022 10:56
131,5.88,3.283,0,02-12-2022 13:35,5.92,3.283,0,10-12-2022 10:56
132,5.77,3.273,0,02-12-2022 13:36,5.84,3.273,0,10-12-2022 10:56
133,5.78,3.28,0,02-12-2022 13:36,5.85,3.28,0,10-12-2022 10:57
134,5.66,3.28,0,02-12-2022 13:36,5.68,3.28,0,10-12-2022 10:57
135,5.79,3.279,0,02-12-2022 13:36,5.78,3.278,0,10-12-2022 10:57
136,5.95,3.281,0,02-12-2022 13:36,5.88,3.281,0,10-12-2022 10:57
137,5.77,3.277,0,02-12-2022 13:37,5.77,3.277,0,10-12-2022 10:57
138,5.71,3.281,0,02-12-2022 13:37,5.69,3.281,0,10-12-2022 10:57
139,5.81,3.28,0,02-12-2022 13:37,5.94,3.281,0,10-12-2022 10:57
140,5.84,3.281,0,02-12-2022 13:37,5.86,3.281,0,10-12-2022 10:58
141,5.83,3.281,0,02-12-2022 13:38,5.88,3.281,0,10-12-2022 10:58
142,6.11,3.281,0,02-12-2022 13:38,6.11,3.281,0,10-12-2022 10:58
143,6.15,3.281,0,02-12-2022 13:39,6.17,3.281,0,10-12-2022 10:58
144,5.62,3.276,0,02-12-2022 13:39,5.68,3.276,0,10-12-2022 10:59
145,5.76,3.281,0,02-12-2022 13:39,5.76,3.281,0,10-12-2022 10:59
146,5.73,3.282,0,02-12-2022 13:39,5.77,3.282,0,10-12-2022 11:00
147,5.76,3.28,0,02-12-2022 13:39,5.77,3.279,0,10-12-2022 11:04
148,5.78,3.281,0,02-12-2022 13:40,5.79,3.281,0,10-12-2022 11:04
149,5.72,3.282,0,02-12-2022 13:41,5.75,3.282,0,10-12-2022 11:04
150,5.87,3.281,0,02-12-2022 13:41,5.91,3.281,0,10-12-2022 11:04
151,5.8,3.283,0,02-12-2022 13:42,5.83,3.283,0,10-12-2022 11:04
152,6.01,3.271,0,02-12-2022 13:42,5.97,3.27,0,10-12-2022 11:04
153,5.78,3.283,0,02-12-2022 13:42,5.81,3.283,0,10-12-2022 11:05
154,5.85,3.278,0,02-12-2022 13:43,5.86,3.277,0,10-12-2022 11:05
155,5.87,3.281,0,02-12-2022 13:43,5.93,3.281,0,10-12-2022 11:05
156,5.75,3.277,0,02-12-2022 13:43,5.87,3.277,0,10-12-2022 11:05
157,5.78,3.28,0,02-12-2022 13:43,5.87,3.28,0,10-12-2022 11:05
158,5.8,3.281,0,02-12-2022 13:44,5.88,3.281,0,10-12-2022 11:05
159,5.85,3.283,0,02-12-2022 13:50,5.95,3.283,0,10-12-2022 11:05
160,5.62,3.274,0,02-12-2022 13:50,5.71,3.274,0,10-12-2022 11:05
161,5.65,3.281,0,02-12-2022 13:54,5.7,3.282,0,10-12-2022 11:06
162,5.57,3.28,0,02-12-2022 13:56,5.67,3.28,0,10-12-2022 11:06
163,5.81,3.279,0,02-12-2022 13:56,5.9,3.279,0,10-12-2022 11:06
164,5.73,3.281,0,02-12-2022 13:56,5.83,3.281,0,10-12-2022 11:06
165,5.84,3.281,0,02-12-2022 13:56,5.87,3.281,0,10-12-2022 11:06
166,5.6,3.281,0,02-12-2022 13:57,5.65,3.281,0,10-12-2022 11:06
167,5.75,3.281,0,02-12-2022 13:57,5.79,3.281,0,10-12-2022 11:07
168,5.75,3.281,0,02-12-2022 13:57,5.82,3.281,0,10-12-2022 11:07
169,5.63,3.268,0,02-12-2022 13:57,5.66,3.267,0,10-12-2022 11:07
170,5.65,3.279,0,02-12-2022 13:57,5.73,3.279,0,10-12-2022 11:07
171,5.61,3.277,0,02-12-2022 13:58,5.64,3.277,0,10-12-2022 11:07
172,5.76,3.28,0,02-12-2022 13:58,5.8,3.28,0,10-12-2022 11:07
173,6.05,3.278,0,02-12-2022 13:58,6.09,3.278,0,10-12-2022 11:07
174,5.62,3.28,0,02-12-2022 13:58,5.68,3.28,0,10-12-2022 11:08
175,5.71,3.275,0,02-12-2022 13:59,5.78,3.274,0,10-12-2022 11:08
176,5.88,3.279,0,02-12-2022 13:59,5.92,3.279,0,10-12-2022 11:08
177,5.66,3.28,0,02-12-2022 13:59,5.73,3.28,0,10-12-2022 11:08
178,5.98,3.279,0,02-12-2022 13:59,6.08,3.279,0,10-12-2022 11:08
179,5.7,3.281,0,02-12-2022 13:59,5.78,3.281,0,10-12-2022 11:08
180,5.64,3.281,0,02-12-2022 14:00,5.7,3.281,0,10-12-2022 11:08
181,5.72,3.282,0,02-12-2022 14:00,5.84,3.282,0,10-12-2022 11:09
182,5.94,3.278,0,02-12-2022 14:01,5.95,3.277,0,10-12-2022 11:09
183,5.8,3.28,0,02-12-2022 14:01,5.84,3.279,0,10-12-2022 11:09
184,6,3.28,0,02-12-2022 14:01,6.04,3.279,0,10-12-2022 11:09
185,5.77,3.28,0,02-12-2022 14:01,5.84,3.28,0,10-12-2022 11:09
186,5.93,3.28,0,02-12-2022 14:02,6.02,3.279,0,10-12-2022 11:09
187,5.76,3.28,0,02-12-2022 14:02,5.77,3.28,0,10-12-2022 11:10
188,5.62,3.281,0,02-12-2022 14:02,5.65,3.281,0,10-12-2022 11:10
189,5.9,3.28,0,02-12-2022 14:02,6,3.28,0,10-12-2022 11:10
190,5.71,3.274,0,02-12-2022 14:03,5.81,3.274,0,10-12-2022 11:10
191,5.88,3.277,0,02-12-2022 14:03,5.98,3.277,0,10-12-2022 11:10
192,5.83,3.282,0,02-12-2022 14:03,5.86,3.281,0,10-12-2022 11:11
193,5.62,3.263,0,02-12-2022 14:03,5.66,3.261,0,10-12-2022 11:11
194,5.73,3.281,0,02-12-2022 14:03,5.8,3.281,0,10-12-2022 11:11
195,5.74,3.282,0,02-12-2022 14:03,5.77,3.282,0,10-12-2022 11:12
196,5.83,3.274,0,02-12-2022 14:04,5.87,3.273,0,10-12-2022 11:12
197,5.77,3.281,0,02-12-2022 14:04,5.81,3.281,0,10-12-2022 11:12
198,5.85,3.278,0,02-12-2022 14:04,5.86,3.278,0,10-12-2022 11:13
199,5.77,3.281,0,02-12-2022 14:05,5.8,3.281,0,10-12-2022 11:13
200,5.87,3.281,0,02-12-2022 14:05,5.97,3.281,0,10-12-2022 11:13
201,5.93,3.281,0,02-12-2022 14:07,6,3.281,0,10-12-2022 11:15
202,6.03,3.274,0,02-12-2022 14:07,6.11,3.274,0,10-12-2022 11:16
203,5.71,3.282,0,02-12-2022 14:07,5.72,3.282,0,10-12-2022 11:16
204,5.76,3.28,0,02-12-2022 14:07,5.76,3.279,0,10-12-2022 11:16
205,5.6,3.279,0,02-12-2022 14:07,5.63,3.278,0,10-12-2022 11:16
206,5.75,3.281,0,02-12-2022 14:08,5.81,3.281,0,10-12-2022 11:16
207,5.74,3.281,0,02-12-2022 14:08,5.81,3.281,0,10-12-2022 11:16
208,5.72,3.281,0,02-12-2022 14:08,5.76,3.28,0,10-12-2022 11:16
209,5.7,3.28,0,02-12-2022 14:08,5.78,3.28,0,10-12-2022 11:17
210,5.64,3.281,0,02-12-2022 14:08,5.69,3.281,0,10-12-2022 11:17
211,5.84,3.281,0,02-12-2022 14:09,5.91,3.281,0,10-12-2022 11:17
212,5.77,3.281,0,02-12-2022 14:09,5.83,3.281,0,10-12-2022 11:17
213,5.94,3.281,0,02-12-2022 14:09,5.99,3.28,0,10-12-2022 11:17
214,5.69,3.281,0,02-12-2022 14:09,5.72,3.28,0,10-12-2022 11:17
215,5.76,3.283,0,02-12-2022 14:13,5.8,3.283,0,10-12-2022 11:17
216,5.79,3.28,0,02-12-2022 14:13,5.82,3.28,0,10-12-2022 11:18
217,5.85,3.28,0,02-12-2022 14:13,5.91,3.28,0,10-12-2022 11:18
218,5.61,3.277,0,02-12-2022 14:14,5.71,3.277,0,10-12-2022 11:18
219,5.78,3.266,0,02-12-2022 14:14,5.95,3.265,0,10-12-2022 11:18
220,5.69,3.281,0,02-12-2022 14:14,5.76,3.281,0,10-12-2022 11:18
221,5.81,3.282,0,02-12-2022 14:15,5.92,3.282,0,10-12-2022 11:19
222,5.8,3.277,0,02-12-2022 14:16,5.8,3.277,0,10-12-2022 11:19
223,5.63,3.28,0,02-12-2022 14:16,5.73,3.28,0,10-12-2022 11:19
224,5.9,3.281,0,02-12-2022 14:20,5.95,3.281,0,10-12-2022 11:19
225,5.7,3.281,0,02-12-2022 14:20,5.72,3.281,0,10-12-2022 11:19
226,5.69,3.281,0,02-12-2022 14:21,5.71,3.281,0,10-12-2022 11:20
227,5.79,3.278,0,02-12-2022 14:21,5.8,3.277,0,10-12-2022 11:20
228,5.72,3.281,0,02-12-2022 14:21,5.75,3.281,0,10-12-2022 11:20
229,5.71,3.282,0,02-12-2022 14:21,5.74,3.282,0,10-12-2022 11:20
230,5.72,3.281,0,02-12-2022 14:21,5.77,3.281,0,10-12-2022 11:20
231,5.79,3.282,0,02-12-2022 14:22,5.84,3.281,0,10-12-2022 11:20
232,5.71,3.279,0,02-12-2022 14:22,5.73,3.279,0,10-12-2022 11:21
233,5.63,3.282,0,02-12-2022 14:22,5.65,3.282,0,10-12-2022 11:21
234,5.75,3.28,0,02-12-2022 14:22,5.79,3.279,0,10-12-2022 11:21
235,5.53,3.28,0,02-12-2022 14:22,5.58,3.28,0,10-12-2022 11:21
236,5.8,3.281,0,02-12-2022 14:22,5.82,3.281,0,10-12-2022 11:21
237,5.59,3.279,0,02-12-2022 14:23,5.66,3.279,0,10-12-2022 11:21
238,5.54,3.282,0,02-12-2022 14:23,5.67,3.282,0,10-12-2022 11:21
239,5.69,3.28,0,02-12-2022 14:23,5.69,3.28,0,10-12-2022 11:22
240,5.67,3.282,0,02-12-2022 14:23,5.77,3.282,0,10-12-2022 11:22
241,5.72,3.282,0,02-12-2022 14:24,5.75,3.281,0,10-12-2022 11:22
242,5.7,3.279,0,02-12-2022 14:24,5.74,3.279,0,10-12-2022 11:22
243,5.82,3.282,0,02-12-2022 14:24,5.97,3.282,0,10-12-2022 11:22
244,5.86,3.279,0,02-12-2022 14:24,5.9,3.278,0,10-12-2022 11:22
245,5.66,3.281,0,02-12-2022 14:24,5.74,3.281,0,10-12-2022 11:23
246,5.63,3.281,0,02-12-2022 14:25,5.68,3.28,0,10-12-2022 11:23
247,5.65,3.282,0,02-12-2022 14:25,5.71,3.281,0,10-12-2022 11:23
248,5.82,3.282,0,02-12-2022 14:25,5.91,3.281,0,10-12-2022 11:23
249,5.71,3.282,0,02-12-2022 14:25,5.76,3.281,0,10-12-2022 11:23
250,5.65,3.282,0,02-12-2022 14:25,5.66,3.282,0,10-12-2022 11:23
251,5.53,3.282,0,02-12-2022 14:26,5.62,3.281,0,10-12-2022 11:24
252,5.71,3.281,0,02-12-2022 14:26,5.74,3.281,0,10-12-2022 11:24
253,5.76,3.281,0,02-12-2022 14:26,5.85,3.281,0,10-12-2022 11:24
254,5.67,3.281,0,02-12-2022 14:26,5.71,3.281,0,10-12-2022 11:24
255,5.8,3.281,0,02-12-2022 14:26,5.86,3.28,0,10-12-2022 11:24
256,5.7,3.281,0,02-12-2022 14:27,5.69,3.281,0,10-12-2022 11:24
257,5.6,3.281,0,02-12-2022 14:27,5.66,3.281,0,10-12-2022 11:24
258,5.65,3.282,0,02-12-2022 14:27,5.7,3.281,0,10-12-2022 11:24
259,5.62,3.282,0,02-12-2022 14:27,5.68,3.281,0,10-12-2022 11:25
260,5.79,3.282,0,02-12-2022 14:27,5.8,3.282,0,10-12-2022 11:25
261,5.63,3.281,0,02-12-2022 14:27,5.69,3.281,0,10-12-2022 11:25
262,5.66,3.279,0,02-12-2022 14:28,5.71,3.279,0,10-12-2022 11:25
263,5.86,3.278,0,02-12-2022 14:28,5.88,3.278,0,10-12-2022 11:25
264,5.85,3.278,0,02-12-2022 14:28,5.84,3.277,0,10-12-2022 11:25
265,5.68,3.282,0,02-12-2022 14:28,5.77,3.281,0,10-12-2022 11:26
