ID,Resistance,Voltage,Temperature,DateTime
1,5.74,3.279,0,02-12-2022 10:31
2,5.68,3.28,0,02-12-2022 10:31
3,5.74,3.196,0,02-12-2022 10:32
4,5.59,3.28,0,02-12-2022 10:32
5,5.57,3.281,0,02-12-2022 10:33
6,5.77,3.28,0,02-12-2022 10:38
7,5.76,3.279,0,02-12-2022 10:39
8,5.74,3.277,0,02-12-2022 10:39
9,5.7,3.273,0,02-12-2022 10:39
10,5.6,3.277,0,02-12-2022 10:40
11,5.58,3.281,0,02-12-2022 10:49
12,5.64,3.267,0,02-12-2022 10:49
13,5.75,3.266,0,02-12-2022 10:49
14,5.57,3.281,0,02-12-2022 10:49
15,5.99,3.275,0,02-12-2022 10:51
16,5.56,3.281,0,02-12-2022 10:51
17,5.57,3.281,0,02-12-2022 10:51
18,5.64,3.281,0,02-12-2022 10:51
19,5.76,3.281,0,02-12-2022 10:51
20,5.74,3.264,0,02-12-2022 10:54
21,5.73,3.278,0,02-12-2022 10:55
22,5.68,3.282,0,02-12-2022 10:55
23,5.78,3.28,0,02-12-2022 10:55
24,5.76,3.28,0,02-12-2022 10:57
25,5.79,3.274,0,02-12-2022 10:57
26,5.77,3.281,0,02-12-2022 10:58
27,5.82,3.281,0,02-12-2022 11:55
28,5.88,3.281,0,02-12-2022 11:55
29,5.68,3.28,0,02-12-2022 11:56
30,5.76,3.282,0,02-12-2022 11:56
31,5.62,3.274,0,02-12-2022 11:56
32,5.75,3.282,0,02-12-2022 11:56
33,5.74,3.279,0,02-12-2022 11:56
34,5.93,3.281,0,02-12-2022 11:57
35,5.71,3.281,0,02-12-2022 11:57
36,5.69,3.28,0,02-12-2022 11:58
37,5.7,3.277,0,02-12-2022 11:59
38,5.72,3.266,0,02-12-2022 12:00
39,5.65,3.281,0,02-12-2022 12:00
40,5.76,3.281,0,02-12-2022 12:00
41,5.57,3.282,0,02-12-2022 12:01
42,5.65,3.281,0,02-12-2022 12:02
43,5.64,3.281,0,02-12-2022 12:02
44,5.66,3.278,0,02-12-2022 12:02
45,5.79,3.265,0,02-12-2022 12:02
46,5.72,3.273,0,02-12-2022 12:02
47,5.66,3.278,0,02-12-2022 12:03
48,5.62,3.278,0,02-12-2022 12:03
49,5.67,3.281,0,02-12-2022 12:03
50,5.66,3.28,0,02-12-2022 12:03
51,5.75,3.28,0,02-12-2022 12:04
52,5.67,3.277,0,02-12-2022 12:04
53,5.88,3.28,0,02-12-2022 12:04
54,5.82,3.279,0,02-12-2022 12:04
55,5.7,3.275,0,02-12-2022 12:05
56,5.88,3.282,0,02-12-2022 12:05
57,5.8,3.281,0,02-12-2022 12:05
58,5.66,3.27,0,02-12-2022 12:06
59,5.77,3.269,0,02-12-2022 12:06
60,5.63,3.279,0,02-12-2022 12:06
61,5.84,3.279,0,02-12-2022 12:07
62,5.65,3.28,0,02-12-2022 12:07
63,5.59,3.278,0,02-12-2022 12:07
64,5.79,3.273,0,02-12-2022 12:07
65,5.75,3.281,0,02-12-2022 12:08
66,5.8,3.274,0,02-12-2022 12:08
67,5.76,3.281,0,02-12-2022 12:08
68,5.89,3.283,0,02-12-2022 12:09
69,5.64,3.279,0,02-12-2022 12:09
70,5.82,3.28,0,02-12-2022 12:09
71,5.73,3.28,0,02-12-2022 12:10
72,5.56,3.281,0,02-12-2022 12:10
73,5.77,3.281,0,02-12-2022 12:10
74,5.76,3.276,0,02-12-2022 12:11
75,5.69,3.281,0,02-12-2022 12:11
76,5.69,3.265,0,02-12-2022 12:11
77,5.66,3.279,0,02-12-2022 12:12
78,5.78,3.282,0,02-12-2022 12:12
79,5.72,3.27,0,02-12-2022 12:12
80,6.02,3.28,0,02-12-2022 12:12
81,5.69,3.281,0,02-12-2022 12:41
82,5.7,3.278,0,02-12-2022 12:43
83,5.61,3.271,0,02-12-2022 12:44
84,5.76,3.273,0,02-12-2022 12:44
85,5.63,3.282,0,02-12-2022 12:44
86,5.69,3.262,0,02-12-2022 12:44
87,5.8,3.278,0,02-12-2022 12:44
88,5.77,3.269,0,02-12-2022 12:45
89,5.75,3.281,0,02-12-2022 12:45
90,5.61,3.282,0,02-12-2022 12:48
91,5.73,3.28,0,02-12-2022 12:48
92,5.67,3.271,0,02-12-2022 12:48
93,5.87,3.281,0,02-12-2022 12:48
94,5.71,3.28,0,02-12-2022 12:48
95,5.93,3.28,0,02-12-2022 12:49
96,5.98,3.281,0,02-12-2022 12:49
97,5.83,3.279,0,02-12-2022 12:49
98,5.7,3.281,0,02-12-2022 12:49
99,5.66,3.28,0,02-12-2022 12:49
100,5.87,3.28,0,02-12-2022 12:50
101,5.7,3.282,0,02-12-2022 12:51
102,5.7,3.281,0,02-12-2022 12:51
103,5.94,3.277,0,02-12-2022 12:51
104,5.93,3.281,0,02-12-2022 12:51
105,5.91,3.282,0,02-12-2022 12:52
106,5.76,3.278,0,02-12-2022 12:52
107,5.91,3.282,0,02-12-2022 12:52
108,5.78,3.282,0,02-12-2022 12:52
109,5.75,3.28,0,02-12-2022 12:52
110,5.81,3.283,0,02-12-2022 12:53
111,5.56,3.28,0,02-12-2022 12:53
112,5.79,3.279,0,02-12-2022 12:53
113,5.78,3.28,0,02-12-2022 12:53
114,5.92,3.281,0,02-12-2022 12:53
115,5.63,3.28,0,02-12-2022 12:53
116,5.89,3.28,0,02-12-2022 12:53
117,5.85,3.279,0,02-12-2022 12:54
118,5.81,3.279,0,02-12-2022 12:54
119,5.94,3.28,0,02-12-2022 12:54
